typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","757","CHE","Switzerland","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","4087646747.982","4087646747.982","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","826","GBR","United Kingdom","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2289732655",,"2289732655","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","826","GBR","United Kingdom","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"4396505612","4396505612","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","826","GBR","United Kingdom","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","17609057211.817","0","17609057211.817","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","826","GBR","United Kingdom","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","18287501722.404","18287501722.404","4","false","true",
"C","A","20100101","2010","52","2010","40","AUT","Austria","M","Import","842","USA","USA","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","4321587854",,"4321587854","0","true","false",
"C","A","20100101","2010","52","2010","40","AUT","Austria","X","Export","842","USA","USA","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"6568379411","6568379411","0","true","false",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","M","Import","842","USA","USA","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","11636834923.069","0","11636834923.069","4","false","true",
"C","A","20100101","2010","52","2010","56","BEL","Belgium","X","Export","842","USA","USA","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","12199289465.127","12199289465.127","4","false","true",
"C","A","20100101","2010","52","2010","124","CAN","Canada","M","Import","40","AUT","Austria","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1142097426","1142097426","0","true","false",
"C","A","20100101","2010","52","2010","124","CAN","Canada","X","Export","40","AUT","Austria","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"342227449","342227449","0","true","false",
"C","A","20100101","2010","52","2010","208","DNK","Denmark","M","Import","40","AUT","Austria","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","774821202",,"774821202","0","true","false",
"C","A","20100101","2010","52","2010","208","DNK","Denmark","X","Export","40","AUT","Austria","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"655794671","655794671","0","true","false",
"C","A","20100101","2010","52","2010","124","CAN","Canada","M","Import","56","BEL","Belgium","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1669885850","1669885850","0","true","false",
"C","A","20100101","2010","52","2010","124","CAN","Canada","X","Export","56","BEL","Belgium","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2092975805","2092975805","0","true","false",
"C","A","20100101","2010","52","2010","208","DNK","Denmark","M","Import","56","BEL","Belgium","0","W00","World","H3","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","2736039411",,"2736039411","0","true","false",
